feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
ActVal,0.008709826,0.0,0.0002372954,0.0050635105
MH,0.0,0.0,0.0,0.0
MW,0.16761473,0.0,0.22118917,0.29450458
PE,0.0032149947,0.0,0.004828347,0.016521638
SIMD,0.020881444,0.16804352,0.09171736,0.009680318
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
isRam_styleBlock,0.2502043,0.0,0.0001051335,0.009323154
isRam_styleDistributed,0.0,0.0,0.0,0.0
isResTypeDsp,0.0,0.81148,0.0002420894,0.00076970825
isResTypeLut,0.0,0.0,0.0,0.0
mac_complexity,0.54937476,0.02047646,0.6816806,0.6641371
noActivation,0.0,0.0,0.0,0.0
outputDataType (bits),0.0,0.0,0.0,0.0
