feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
MH,0.019596357,0.058973674,0.010191603,0.0059164255
MW,0.0010159982,9.477205e-08,2.0380623e-06,0.00028075787
PE,0.019279225,0.008353658,0.0018212548,0.0064532235
SIMD,0.03492522,0.04218831,0.028557453,0.004801354
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),7.0059887e-06,0.0,0.0,0.0
isHLS,0.0,0.0,0.0,0.0
isRTL,0.07183481,0.0014096308,0.9584772,0.97500175
isRam_styleBlock,0.7418906,0.0,2.3888599e-05,0.0004983283
isRam_styleDistributed,0.0,0.0,0.0,0.0
mac_complexity,0.11144906,0.059497103,0.00019615138,0.0070320265
noActivation,0.0,0.0,0.0,0.0
numInputVectors,1.7328393e-06,0.8295776,0.0007303505,1.622938e-05
outputDataType (bits),0.0,0.0,0.0,0.0
