feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
MH,0.009323126,0.10902945,0.006517464,0.00032544337
MW,4.3984932e-07,1.0057766e-07,0.00052040385,2.0098527e-05
PE,0.0058735027,0.003940704,0.0009366649,0.019722147
SIMD,0.05172332,0.045539513,0.011962455,8.159406e-05
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
isHLS,0.0,0.0,0.0,0.0
isRTL,4.9922943e-05,0.0014381374,0.96712834,0.9756765
isRam_styleBlock,0.5813111,0.0,2.5810277e-05,4.073322e-05
isRam_styleDistributed,0.0,0.0,0.0,0.0
mac_complexity,0.10056876,0.06164723,0.012907242,0.003992001
noActivation,0.0,0.0,0.0,0.0
numInputVectors,0.2511498,0.77840483,1.6788155e-06,0.00014148954
outputDataType (bits),0.0,0.0,0.0,0.0
